epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,402.665,2.12543,2.91113,1.36943,0.87484,0.81922,0.88773,0.37737,1.8696,1.13274,1.25656,0.000333084,0.000333084,0.000333084
2,769.879,1.8259,1.23237,1.21246,0.8047,0.8999,0.81075,0.37772,1.7389,3.01586,1.19595,0.000653223,0.000653223,0.000653223
3,1126.07,1.78372,1.11115,1.17762,0.93285,0.89621,0.93774,0.45366,1.72691,0.91504,1.18579,0.000960161,0.000960161,0.000960161
4,1492.29,1.75219,1.05628,1.16544,0.9397,0.91557,0.95242,0.45245,1.74808,0.86476,1.19017,0.0009406,0.0009406,0.0009406
5,1844.36,1.70991,0.98055,1.14583,0.9482,0.94766,0.96634,0.4718,1.70159,0.77545,1.17102,0.0009208,0.0009208,0.0009208
6,2204.12,1.68681,0.93583,1.13675,0.95883,0.94559,0.96714,0.47797,1.69657,0.77113,1.15923,0.000901,0.000901,0.000901
7,2564.62,1.66973,0.89449,1.13059,0.96506,0.95366,0.97241,0.49085,1.66876,0.74238,1.14774,0.0008812,0.0008812,0.0008812
8,2931.43,1.64801,0.86132,1.1159,0.96331,0.94904,0.9677,0.47907,1.69374,0.73342,1.15287,0.0008614,0.0008614,0.0008614
9,3301.79,1.63737,0.83795,1.11892,0.97108,0.96619,0.97837,0.49537,1.66204,0.69542,1.1443,0.0008416,0.0008416,0.0008416
10,3672.11,1.62513,0.81472,1.11039,0.96973,0.96655,0.97656,0.50575,1.63097,0.6837,1.13206,0.0008218,0.0008218,0.0008218
11,4044.08,1.60465,0.79656,1.1044,0.97433,0.96844,0.97878,0.50077,1.64012,0.66749,1.13798,0.000802,0.000802,0.000802
12,4413.92,1.59072,0.77857,1.09754,0.96911,0.96378,0.97935,0.50198,1.653,0.66964,1.13339,0.0007822,0.0007822,0.0007822
13,4775.8,1.58512,0.77571,1.09412,0.97043,0.9737,0.98139,0.51258,1.61458,0.65368,1.12523,0.0007624,0.0007624,0.0007624
14,5144.92,1.56871,0.75905,1.09187,0.9723,0.97009,0.98138,0.51539,1.61506,0.6424,1.12667,0.0007426,0.0007426,0.0007426
15,5506.91,1.56216,0.74221,1.08725,0.97555,0.97456,0.98207,0.51845,1.60074,0.62008,1.11767,0.0007228,0.0007228,0.0007228
